"","Trait","AccessionName","AccessionNumber","variable","value"
"6806","LeafSucculence","LA0524","Y16","rep4",1.324501527
"6807","LeafPerimeter","LA0524","Y16","rep4",0.424711853
"6808","LeafVertLength","LA0524","Y16","rep4",0.622215656
"6809","LeafHorizWidth","LA0524","Y16","rep4",0.710523873
"6810","LeafElongationFactor","LA0524","Y16","rep4",1.141941565
"6811","DG","LA0526","Y17","rep4",4
"6812","DL4","LA0526","Y17","rep4",14
"6813","DH","LA0526","Y17","rep4",11
"6814","LN","LA0526","Y17","rep4",NA
"6815","RL","LA0526","Y17","rep4",NA
"6816","SL","LA0526","Y17","rep4",NA
"6817","ST","LA0526","Y17","rep4",NA
"6818","RFM","LA0526","Y17","rep4",NA
"6819","SFM","LA0526","Y17","rep4",NA
"6820","TFM","LA0526","Y17","rep4",NA
"6821","RDM","LA0526","Y17","rep4",NA
"6822","SDM","LA0526","Y17","rep4",NA
"6823","TDM","LA0526","Y17","rep4",NA
"6824","WC","LA0526","Y17","rep4",NA
"6825","WCn","LA0526","Y17","rep4",NA
"6826","GPI","LA0526","Y17","rep4",1.009871796
"6827","GPF","LA0526","Y17","rep4",0.014661934
"6828","dGP","LA0526","Y17","rep4",4.03454887
"6829","L4FM","LA0526","Y17","rep4",NA
"6830","L4DM","LA0526","Y17","rep4",NA
"6831","L4A","LA0526","Y17","rep4",NA
"6832","RNa","LA0526","Y17","rep4",NA
"6833","RK","LA0526","Y17","rep4",NA
"6834","LNa","LA0526","Y17","rep4",NA
"6835","LK","LA0526","Y17","rep4",NA
"6836","LeafSucculence","LA0526","Y17","rep4",NA
"6837","LeafPerimeter","LA0526","Y17","rep4",NA
"6838","LeafVertLength","LA0526","Y17","rep4",NA
"6839","LeafHorizWidth","LA0526","Y17","rep4",NA
"6840","LeafElongationFactor","LA0526","Y17","rep4",NA
"6841","DG","LA0528","Y18","rep4",4
"6842","DL4","LA0528","Y18","rep4",14
"6843","DH","LA0528","Y18","rep4",11
"6844","LN","LA0528","Y18","rep4",0.5
"6845","RL","LA0528","Y18","rep4",0.225
"6846","SL","LA0528","Y18","rep4",0.257142857
"6847","ST","LA0528","Y18","rep4",0.510204082
"6848","RFM","LA0528","Y18","rep4",0.444899743
"6849","SFM","LA0528","Y18","rep4",0.146878174
"6850","TFM","LA0528","Y18","rep4",0.191703373
"6851","RDM","LA0528","Y18","rep4",0.810704961
"6852","SDM","LA0528","Y18","rep4",0.289391922
"6853","TDM","LA0528","Y18","rep4",0.343256653
"6854","WC","LA0528","Y18","rep4",0.182941141
"6855","WCn","LA0528","Y18","rep4",-14.45585413
"6856","GPI","LA0528","Y18","rep4",1.161500778
"6857","GPF","LA0528","Y18","rep4",0.188943382
"6858","dGP","LA0528","Y18","rep4",0.083323755
"6859","L4FM","LA0528","Y18","rep4",0.160727273
"6860","L4DM","LA0528","Y18","rep4",0.259608412
"6861","L4A","LA0528","Y18","rep4",0.190733287
"6862","RNa","LA0528","Y18","rep4",14.22393111
"6863","RK","LA0528","Y18","rep4",0.755595151
"6864","LNa","LA0528","Y18","rep4",23.9100097
"6865","LK","LA0528","Y18","rep4",0.861458712
"6866","LeafSucculence","LA0528","Y18","rep4",0.799342397
"6867","LeafPerimeter","LA0528","Y18","rep4",0.257802628
"6868","LeafVertLength","LA0528","Y18","rep4",0.347995571
"6869","LeafHorizWidth","LA0528","Y18","rep4",0.495641727
"6870","LeafElongationFactor","LA0528","Y18","rep4",1.424434389
"6871","DG","LA0528B","Y19","rep4",3
"6872","DL4","LA0528B","Y19","rep4",13
"6873","DH","LA0528B","Y19","rep4",11
"6874","LN","LA0528B","Y19","rep4",0.666666667
"6875","RL","LA0528B","Y19","rep4",3.461538462
"6876","SL","LA0528B","Y19","rep4",0.275862069
"6877","ST","LA0528B","Y19","rep4",0.087719298
"6878","RFM","LA0528B","Y19","rep4",0.203996407
"6879","SFM","LA0528B","Y19","rep4",0.254983084
"6880","TFM","LA0528B","Y19","rep4",0.246237141
"6881","RDM","LA0528B","Y19","rep4",0.328990228
"6882","SDM","LA0528B","Y19","rep4",0.350975262
"6883","TDM","LA0528B","Y19","rep4",0.32744387
"6884","WC","LA0528B","Y19","rep4",0.241603529
"6885","WCn","LA0528B","Y19","rep4",-0.675191542
"6886","GPI","LA0528B","Y19","rep4",1.008755777
"6887","GPF","LA0528B","Y19","rep4",0.33459538
"6888","dGP","LA0528B","Y19","rep4",0.257711623
"6889","L4FM","LA0528B","Y19","rep4",0.158456956
"6890","L4DM","LA0528B","Y19","rep4",0.253412025
"6891","L4A","LA0528B","Y19","rep4",0.212512143
"6892","RNa","LA0528B","Y19","rep4",17.11108226
"6893","RK","LA0528B","Y19","rep4",NA
"6894","LNa","LA0528B","Y19","rep4",26.80174184
"6895","LK","LA0528B","Y19","rep4",1.005019981
"6896","LeafSucculence","LA0528B","Y19","rep4",0.708026292
"6897","LeafPerimeter","LA0528B","Y19","rep4",0.353799438
"6898","LeafVertLength","LA0528B","Y19","rep4",0.384818273
"6899","LeafHorizWidth","LA0528B","Y19","rep4",0.430657874
"6900","LeafElongationFactor","LA0528B","Y19","rep4",1.119104864
"6901","DG","LA0529","Y20","rep4",3
"6902","DL4","LA0529","Y20","rep4",12
"6903","DH","LA0529","Y20","rep4",11
"6904","LN","LA0529","Y20","rep4",0.333333333
"6905","RL","LA0529","Y20","rep4",NA
"6906","SL","LA0529","Y20","rep4",NA
"6907","ST","LA0529","Y20","rep4",-0.027777778
"6908","RFM","LA0529","Y20","rep4",0.050906623
"6909","SFM","LA0529","Y20","rep4",0.033713544
"6910","TFM","LA0529","Y20","rep4",0.036712922
"6911","RDM","LA0529","Y20","rep4",0.101181305
"6912","SDM","LA0529","Y20","rep4",0.093919008
"6913","TDM","LA0529","Y20","rep4",0.100736011
"6914","WC","LA0529","Y20","rep4",0.03236548
"6915","WCn","LA0529","Y20","rep4",15.3110374
"6916","GPI","LA0529","Y20","rep4",0.864552629
"6917","GPF","LA0529","Y20","rep4",0.075317523
"6918","dGP","LA0529","Y20","rep4",-0.020123588
"6919","L4FM","LA0529","Y20","rep4",0.10247115
"6920","L4DM","LA0529","Y20","rep4",0.129788451
"6921","L4A","LA0529","Y20","rep4",0.12212915
"6922","RNa","LA0529","Y20","rep4",17.00638256
"6923","RK","LA0529","Y20","rep4",0.582614138
"6924","LNa","LA0529","Y20","rep4",16.34317355
"6925","LK","LA0529","Y20","rep4",0.902446963
"6926","LeafSucculence","LA0529","Y20","rep4",0.812609808
"6927","LeafPerimeter","LA0529","Y20","rep4",0.239121204
"6928","LeafVertLength","LA0529","Y20","rep4",0.284835495
"6929","LeafHorizWidth","LA0529","Y20","rep4",0.364493855
"6930","LeafElongationFactor","LA0529","Y20","rep4",1.279491833
"6931","DG","LA0530","Y21","rep4",4
"6932","DL4","LA0530","Y21","rep4",13
"6933","DH","LA0530","Y21","rep4",12
"6934","LN","LA0530","Y21","rep4",0
"6935","RL","LA0530","Y21","rep4",0.988888889
"6936","SL","LA0530","Y21","rep4",0.4375
"6937","ST","LA0530","Y21","rep4",0.549019608
"6938","RFM","LA0530","Y21","rep4",0.176133388
"6939","SFM","LA0530","Y21","rep4",0.196498986
"6940","TFM","LA0530","Y21","rep4",0.192496832
"6941","RDM","LA0530","Y21","rep4",0.38973384
"6942","SDM","LA0530","Y21","rep4",0.315394964
"6943","TDM","LA0530","Y21","rep4",0.304279497
"6944","WC","LA0530","Y21","rep4",0.187254068
"6945","WCn","LA0530","Y21","rep4",-0.072937007
"6946","GPI","LA0530","Y21","rep4",1.321423557
"6947","GPF","LA0530","Y21","rep4",0.269743759
"6948","dGP","LA0530","Y21","rep4",NA
"6949","L4FM","LA0530","Y21","rep4",0.177798799
"6950","L4DM","LA0530","Y21","rep4",0.231036192
"6951","L4A","LA0530","Y21","rep4",0.206143701
"6952","RNa","LA0530","Y21","rep4",17.350314
"6953","RK","LA0530","Y21","rep4",1.377720612
"6954","LNa","LA0530","Y21","rep4",25.08151069
"6955","LK","LA0530","Y21","rep4",0.7034913
"6956","LeafSucculence","LA0530","Y21","rep4",0.839137512
"6957","LeafPerimeter","LA0530","Y21","rep4",0.23226071
"6958","LeafVertLength","LA0530","Y21","rep4",0.376838838
"6959","LeafHorizWidth","LA0530","Y21","rep4",0.345199169
"6960","LeafElongationFactor","LA0530","Y21","rep4",0.915956558
"6961","DG","LA0531","Y22","rep4",3
"6962","DL4","LA0531","Y22","rep4",13
"6963","DH","LA0531","Y22","rep4",11
"6964","LN","LA0531","Y22","rep4",0.666666667
"6965","RL","LA0531","Y22","rep4",0.074626866
"6966","SL","LA0531","Y22","rep4",0.419354839
"6967","ST","LA0531","Y22","rep4",0.246636771
"6968","RFM","LA0531","Y22","rep4",0.130449129
"6969","SFM","LA0531","Y22","rep4",0.205635026
"6970","TFM","LA0531","Y22","rep4",0.189968535
"6971","RDM","LA0531","Y22","rep4",0.215982721
"6972","SDM","LA0531","Y22","rep4",0.292223495
"6973","TDM","LA0531","Y22","rep4",0.271152895
"6974","WC","LA0531","Y22","rep4",0.185781845
"6975","WCn","LA0531","Y22","rep4",-0.429435331
"6976","GPI","LA0531","Y22","rep4",1.267499943
"6977","GPF","LA0531","Y22","rep4",0.179394234
"6978","dGP","LA0531","Y22","rep4",0.112498405
"6979","L4FM","LA0531","Y22","rep4",0.176467233
"6980","L4DM","LA0531","Y22","rep4",0.244931734
"6981","L4A","LA0531","Y22","rep4",0.166583541
"6982","RNa","LA0531","Y22","rep4",24.48014789
"6983","RK","LA0531","Y22","rep4",0.902832663
"6984","LNa","LA0531","Y22","rep4",28.52346914
"6985","LK","LA0531","Y22","rep4",0.593069296
"6986","LeafSucculence","LA0531","Y22","rep4",1.028906076
"6987","LeafPerimeter","LA0531","Y22","rep4",0.20072791
"6988","LeafVertLength","LA0531","Y22","rep4",0.317075514
"6989","LeafHorizWidth","LA0531","Y22","rep4",0.35522909
"6990","LeafElongationFactor","LA0531","Y22","rep4",1.120440673
"6991","DG","LA0532","Y23","rep4",3
"6992","DL4","LA0532","Y23","rep4",13
"6993","DH","LA0532","Y23","rep4",11
"6994","LN","LA0532","Y23","rep4",0.666666667
"6995","RL","LA0532","Y23","rep4",0.520833333
"6996","SL","LA0532","Y23","rep4",0.372093023
"6997","ST","LA0532","Y23","rep4",0.210526316
"6998","RFM","LA0532","Y23","rep4",0.167631652
"6999","SFM","LA0532","Y23","rep4",0.241081237
"7000","TFM","LA0532","Y23","rep4",0.230827132
"7001","RDM","LA0532","Y23","rep4",0.37464986
"7002","SDM","LA0532","Y23","rep4",0.319104269
"7003","TDM","LA0532","Y23","rep4",0.325829867
"7004","WC","LA0532","Y23","rep4",0.225569713
"7005","WCn","LA0532","Y23","rep4",-2.049459415
"7006","GPI","LA0532","Y23","rep4",1.094259643
"7007","GPF","LA0532","Y23","rep4",0.420165063
"7008","dGP","LA0532","Y23","rep4",0.343700053
"7009","L4FM","LA0532","Y23","rep4",0.259103592
"7010","L4DM","LA0532","Y23","rep4",0.320495795
"7011","L4A","LA0532","Y23","rep4",0.260765409
"7012","RNa","LA0532","Y23","rep4",17.62406074
"7013","RK","LA0532","Y23","rep4",2.028945785
"7014","LNa","LA0532","Y23","rep4",29.90595796
"7015","LK","LA0532","Y23","rep4",0.405399308
"7016","LeafSucculence","LA0532","Y23","rep4",0.973214239
"7017","LeafPerimeter","LA0532","Y23","rep4",0.213366376
"7018","LeafVertLength","LA0532","Y23","rep4",0.388889382
"7019","LeafHorizWidth","LA0532","Y23","rep4",0.484084781
"7020","LeafElongationFactor","LA0532","Y23","rep4",1.244777379
"7021","DG","LA0746","Y24","rep4",3
"7022","DL4","LA0746","Y24","rep4",12
"7023","DH","LA0746","Y24","rep4",11
"7024","LN","LA0746","Y24","rep4",0.666666667
"7025","RL","LA0746","Y24","rep4",0.833333333
"7026","SL","LA0746","Y24","rep4",0.35
"7027","ST","LA0746","Y24","rep4",0.283236994
"7028","RFM","LA0746","Y24","rep4",0.059304703
"7029","SFM","LA0746","Y24","rep4",0.111082036
"7030","TFM","LA0746","Y24","rep4",0.102250265
"7031","RDM","LA0746","Y24","rep4",0.15007776
"7032","SDM","LA0746","Y24","rep4",0.197552173
"7033","TDM","LA0746","Y24","rep4",0.184254939
"7034","WC","LA0746","Y24","rep4",0.095304959
"7035","WCn","LA0746","Y24","rep4",3.420413912
"7036","GPI","LA0746","Y24","rep4",1.137156847
"7037","GPF","LA0746","Y24","rep4",NA
"7038","dGP","LA0746","Y24","rep4",NA
"7039","L4FM","LA0746","Y24","rep4",0.192223411
"7040","L4DM","LA0746","Y24","rep4",0.167357084
"7041","L4A","LA0746","Y24","rep4",0.296718532
"7042","RNa","LA0746","Y24","rep4",25.04703011
"7043","RK","LA0746","Y24","rep4",0.858130108
"7044","LNa","LA0746","Y24","rep4",17.48571177
"7045","LK","LA0746","Y24","rep4",0.946170393
"7046","LeafSucculence","LA0746","Y24","rep4",0.659586528
"7047","LeafPerimeter","LA0746","Y24","rep4",0.346226708
"7048","LeafVertLength","LA0746","Y24","rep4",0.491610691
"7049","LeafHorizWidth","LA0746","Y24","rep4",0.47138587
"7050","LeafElongationFactor","LA0746","Y24","rep4",0.958793128
"7051","DG","LA0747","Y25","rep4",5
"7052","DL4","LA0747","Y25","rep4",13
"7053","DH","LA0747","Y25","rep4",11
"7054","LN","LA0747","Y25","rep4",0.333333333
"7055","RL","LA0747","Y25","rep4",0.035714286
"7056","SL","LA0747","Y25","rep4",0.739130435
"7057","ST","LA0747","Y25","rep4",0.62295082
"7058","RFM","LA0747","Y25","rep4",0.168476249
"7059","SFM","LA0747","Y25","rep4",0.121193283
"7060","TFM","LA0747","Y25","rep4",0.126728826
"7061","RDM","LA0747","Y25","rep4",0.457364341
"7062","SDM","LA0747","Y25","rep4",0.225407532
"7063","TDM","LA0747","Y25","rep4",0.233208231
"7064","WC","LA0747","Y25","rep4",0.120435388
"7065","WCn","LA0747","Y25","rep4",NA
"7066","GPI","LA0747","Y25","rep4",1.227053113
"7067","GPF","LA0747","Y25","rep4",0.112614762
"7068","dGP","LA0747","Y25","rep4",0.045023382
"7069","L4FM","LA0747","Y25","rep4",0.180220264
"7070","L4DM","LA0747","Y25","rep4",0.174212034
"7071","L4A","LA0747","Y25","rep4",0.164238039
"7072","RNa","LA0747","Y25","rep4",26.65322
"7073","RK","LA0747","Y25","rep4",1.411463947
"7074","LNa","LA0747","Y25","rep4",27.51589637
"7075","LK","LA0747","Y25","rep4",0.183315216
"7076","LeafSucculence","LA0747","Y25","rep4",1.100357706
"7077","LeafPerimeter","LA0747","Y25","rep4",0.220431014
"7078","LeafVertLength","LA0747","Y25","rep4",0.387031985
"7079","LeafHorizWidth","LA0747","Y25","rep4",NA
"7080","LeafElongationFactor","LA0747","Y25","rep4",0.971991532
"7081","DG","LA0748","Y26","rep4",3
"7082","DL4","LA0748","Y26","rep4",12
"7083","DH","LA0748","Y26","rep4",11
"7084","LN","LA0748","Y26","rep4",NA
"7085","RL","LA0748","Y26","rep4",0.147368421
"7086","SL","LA0748","Y26","rep4",0.615384615
"7087","ST","LA0748","Y26","rep4",0.608187135
"7088","RFM","LA0748","Y26","rep4",0.178684188
"7089","SFM","LA0748","Y26","rep4",0.196946484
"7090","TFM","LA0748","Y26","rep4",0.193822439
"7091","RDM","LA0748","Y26","rep4",0.288209607
"7092","SDM","LA0748","Y26","rep4",0.276602413
"7093","TDM","LA0748","Y26","rep4",0.243119677
"7094","WC","LA0748","Y26","rep4",0.190993142
"7095","WCn","LA0748","Y26","rep4",-0.549531697
"7096","GPI","LA0748","Y26","rep4",1.275700493
"7097","GPF","LA0748","Y26","rep4",0.36989032
"7098","dGP","LA0748","Y26","rep4",0.277187185
"7099","L4FM","LA0748","Y26","rep4",0.127349679
"7100","L4DM","LA0748","Y26","rep4",0.142420122
"7101","L4A","LA0748","Y26","rep4",0.165002593
"7102","RNa","LA0748","Y26","rep4",18.34653442
"7103","RK","LA0748","Y26","rep4",0.782499634
"7104","LNa","LA0748","Y26","rep4",19.05760649
"7105","LK","LA0748","Y26","rep4",0.51828321
"7106","LeafSucculence","LA0748","Y26","rep4",0.763224174
"7107","LeafPerimeter","LA0748","Y26","rep4",0.158676222
"7108","LeafVertLength","LA0748","Y26","rep4",0.319341206
"7109","LeafHorizWidth","LA0748","Y26","rep4",0.344558678
"7110","LeafElongationFactor","LA0748","Y26","rep4",1.078906653
"7111","DG","LA0749","Y27","rep4",3
"7112","DL4","LA0749","Y27","rep4",13
"7113","DH","LA0749","Y27","rep4",11
"7114","LN","LA0749","Y27","rep4",0.5
"7115","RL","LA0749","Y27","rep4",0.818181818
"7116","SL","LA0749","Y27","rep4",0.379310345
"7117","ST","LA0749","Y27","rep4",0.25
"7118","RFM","LA0749","Y27","rep4",0.199093068
"7119","SFM","LA0749","Y27","rep4",0.168943025
"7120","TFM","LA0749","Y27","rep4",0.174025005
"7121","RDM","LA0749","Y27","rep4",0.39119171
"7122","SDM","LA0749","Y27","rep4",0.475879397
"7123","TDM","LA0749","Y27","rep4",0.395184591
"7124","WC","LA0749","Y27","rep4",0.160734267
"7125","WCn","LA0749","Y27","rep4",-2.046384335
"7126","GPI","LA0749","Y27","rep4",1.30786916
"7127","GPF","LA0749","Y27","rep4",0.299220204
"7128","dGP","LA0749","Y27","rep4",0.174243353
"7129","L4FM","LA0749","Y27","rep4",0.092140778
"7130","L4DM","LA0749","Y27","rep4",0.179972936
"7131","L4A","LA0749","Y27","rep4",0.135294193
"7132","RNa","LA0749","Y27","rep4",16.68570842
"7133","RK","LA0749","Y27","rep4",0.982661623
"7134","LNa","LA0749","Y27","rep4",16.77788963
"7135","LK","LA0749","Y27","rep4",2.222940962
"7136","LeafSucculence","LA0749","Y27","rep4",0.62594981
"7137","LeafPerimeter","LA0749","Y27","rep4",0.249176427
"7138","LeafVertLength","LA0749","Y27","rep4",0.345923402
"7139","LeafHorizWidth","LA0749","Y27","rep4",0.368782054
"7140","LeafElongationFactor","LA0749","Y27","rep4",1.066193434
"7141","DG","LA0927","Y28","rep4",6
"7142","DL4","LA0927","Y28","rep4",14
"7143","DH","LA0927","Y28","rep4",11
"7144","LN","LA0927","Y28","rep4",0.5
"7145","RL","LA0927","Y28","rep4",0.379746835
"7146","SL","LA0927","Y28","rep4",0.40625
"7147","ST","LA0927","Y28","rep4",0.348571429
"7148","RFM","LA0927","Y28","rep4",0.14672322
"7149","SFM","LA0927","Y28","rep4",0.208517012
"7150","TFM","LA0927","Y28","rep4",0.194811702
"7151","RDM","LA0927","Y28","rep4",0.237360298
"7152","SDM","LA0927","Y28","rep4",0.320064988
"7153","TDM","LA0927","Y28","rep4",0.275075594
"7154","WC","LA0927","Y28","rep4",0.189763014
"7155","WCn","LA0927","Y28","rep4",28.74894402
"7156","GPI","LA0927","Y28","rep4",0.936567746
"7157","GPF","LA0927","Y28","rep4",0.255776806
"7158","dGP","LA0927","Y28","rep4",0.144453587
"7159","L4FM","LA0927","Y28","rep4",0.127277928
"7160","L4DM","LA0927","Y28","rep4",0.161904762
"7161","L4A","LA0927","Y28","rep4",0.162833471
"7162","RNa","LA0927","Y28","rep4",26.13228324
"7163","RK","LA0927","Y28","rep4",0.528452839
"7164","LNa","LA0927","Y28","rep4",32.98761235
"7165","LK","LA0927","Y28","rep4",0.874713095
"7166","LeafSucculence","LA0927","Y28","rep4",0.759481526
"7167","LeafPerimeter","LA0927","Y28","rep4",0.318475927
"7168","LeafVertLength","LA0927","Y28","rep4",0.407226998
"7169","LeafHorizWidth","LA0927","Y28","rep4",0.424458606
"7170","LeafElongationFactor","LA0927","Y28","rep4",1.042429526
"7171","DG","LA0929","Y29","rep4",6
"7172","DL4","LA0929","Y29","rep4",16
"7173","DH","LA0929","Y29","rep4",11
"7174","LN","LA0929","Y29","rep4",NA
"7175","RL","LA0929","Y29","rep4",NA
"7176","SL","LA0929","Y29","rep4",NA
"7177","ST","LA0929","Y29","rep4",NA
"7178","RFM","LA0929","Y29","rep4",NA
"7179","SFM","LA0929","Y29","rep4",NA
"7180","TFM","LA0929","Y29","rep4",NA
"7181","RDM","LA0929","Y29","rep4",NA
"7182","SDM","LA0929","Y29","rep4",NA
"7183","TDM","LA0929","Y29","rep4",NA
"7184","WC","LA0929","Y29","rep4",NA
"7185","WCn","LA0929","Y29","rep4",NA
"7186","GPI","LA0929","Y29","rep4",1.216966797
"7187","GPF","LA0929","Y29","rep4",0.043175417
"7188","dGP","LA0929","Y29","rep4",-0.046250447
"7189","L4FM","LA0929","Y29","rep4",NA
"7190","L4DM","LA0929","Y29","rep4",NA
"7191","L4A","LA0929","Y29","rep4",NA
"7192","RNa","LA0929","Y29","rep4",NA
"7193","RK","LA0929","Y29","rep4",NA
"7194","LNa","LA0929","Y29","rep4",NA
"7195","LK","LA0929","Y29","rep4",NA
"7196","LeafSucculence","LA0929","Y29","rep4",NA
"7197","LeafPerimeter","LA0929","Y29","rep4",NA
"7198","LeafVertLength","LA0929","Y29","rep4",NA
"7199","LeafHorizWidth","LA0929","Y29","rep4",NA
"7200","LeafElongationFactor","LA0929","Y29","rep4",NA
"7201","DG","LA0930","Y30","rep4",4
"7202","DL4","LA0930","Y30","rep4",23
"7203","DH","LA0930","Y30","rep4",11
"7204","LN","LA0930","Y30","rep4",NA
"7205","RL","LA0930","Y30","rep4",NA
"7206","SL","LA0930","Y30","rep4",NA
"7207","ST","LA0930","Y30","rep4",NA
"7208","RFM","LA0930","Y30","rep4",NA
"7209","SFM","LA0930","Y30","rep4",NA
"7210","TFM","LA0930","Y30","rep4",NA
"7211","RDM","LA0930","Y30","rep4",NA
"7212","SDM","LA0930","Y30","rep4",NA
"7213","TDM","LA0930","Y30","rep4",NA
"7214","WC","LA0930","Y30","rep4",NA
"7215","WCn","LA0930","Y30","rep4",NA
"7216","GPI","LA0930","Y30","rep4",1.362405284
"7217","GPF","LA0930","Y30","rep4",0.069539829
"7218","dGP","LA0930","Y30","rep4",-0.250365007
"7219","L4FM","LA0930","Y30","rep4",NA
"7220","L4DM","LA0930","Y30","rep4",NA
"7221","L4A","LA0930","Y30","rep4",NA
"7222","RNa","LA0930","Y30","rep4",NA
"7223","RK","LA0930","Y30","rep4",NA
"7224","LNa","LA0930","Y30","rep4",NA
"7225","LK","LA0930","Y30","rep4",NA
"7226","LeafSucculence","LA0930","Y30","rep4",NA
"7227","LeafPerimeter","LA0930","Y30","rep4",NA
"7228","LeafVertLength","LA0930","Y30","rep4",NA
"7229","LeafHorizWidth","LA0930","Y30","rep4",NA
"7230","LeafElongationFactor","LA0930","Y30","rep4",NA
"7231","DG","LA0932","Y31","rep4",3
"7232","DL4","LA0932","Y31","rep4",13
"7233","DH","LA0932","Y31","rep4",11
"7234","LN","LA0932","Y31","rep4",0.333333333
"7235","RL","LA0932","Y31","rep4",0.426086957
"7236","SL","LA0932","Y31","rep4",NA
"7237","ST","LA0932","Y31","rep4",0.360248447
"7238","RFM","LA0932","Y31","rep4",0.18605914
"7239","SFM","LA0932","Y31","rep4",0.059745665
"7240","TFM","LA0932","Y31","rep4",0.074953492
"7241","RDM","LA0932","Y31","rep4",0.233791749
"7242","SDM","LA0932","Y31","rep4",0.133572513
"7243","TDM","LA0932","Y31","rep4",0.147219902
"7244","WC","LA0932","Y31","rep4",0.070009779
"7245","WCn","LA0932","Y31","rep4",5.536673773
"7246","GPI","LA0932","Y31","rep4",1.54771184
"7247","GPF","LA0932","Y31","rep4",0.05599521
"7248","dGP","LA0932","Y31","rep4",-0.034789784
"7249","L4FM","LA0932","Y31","rep4",0.155538312
"7250","L4DM","LA0932","Y31","rep4",0.151515152
"7251","L4A","LA0932","Y31","rep4",0.115187426
"7252","RNa","LA0932","Y31","rep4",18.1431846
"7253","RK","LA0932","Y31","rep4",0.649320007
"7254","LNa","LA0932","Y31","rep4",37.50891815
"7255","LK","LA0932","Y31","rep4",0.341477171
"7256","LeafSucculence","LA0932","Y31","rep4",1.354071208
"7257","LeafPerimeter","LA0932","Y31","rep4",0.174534406
"7258","LeafVertLength","LA0932","Y31","rep4",0.259576878
"7259","LeafHorizWidth","LA0932","Y31","rep4",0.368428381
"7260","LeafElongationFactor","LA0932","Y31","rep4",NA
"7261","DG","LA1035","Y32","rep4",3
"7262","DL4","LA1035","Y32","rep4",12
"7263","DH","LA1035","Y32","rep4",11
"7264","LN","LA1035","Y32","rep4",0.333333333
"7265","RL","LA1035","Y32","rep4",0.394957983
"7266","SL","LA1035","Y32","rep4",0.045454545
"7267","ST","LA1035","Y32","rep4",NA
"7268","RFM","LA1035","Y32","rep4",0.090048437
"7269","SFM","LA1035","Y32","rep4",0.096986105
"7270","TFM","LA1035","Y32","rep4",0.095674613
"7271","RDM","LA1035","Y32","rep4",0.166445623
"7272","SDM","LA1035","Y32","rep4",0.236131387
"7273","TDM","LA1035","Y32","rep4",0.19076087
"7274","WC","LA1035","Y32","rep4",0.090894686
"7275","WCn","LA1035","Y32","rep4",-1.911610917
"7276","GPI","LA1035","Y32","rep4",1.138136525
"7277","GPF","LA1035","Y32","rep4",0.2195048
"7278","dGP","LA1035","Y32","rep4",0.140303714
"7279","L4FM","LA1035","Y32","rep4",0.053990438
"7280","L4DM","LA1035","Y32","rep4",0.094936709
"7281","L4A","LA1035","Y32","rep4",0.069165345
"7282","RNa","LA1035","Y32","rep4",NA
"7283","RK","LA1035","Y32","rep4",0.498149358
"7284","LNa","LA1035","Y32","rep4",27.64262116
"7285","LK","LA1035","Y32","rep4",1.235639479
"7286","LeafSucculence","LA1035","Y32","rep4",0.728172771
"7287","LeafPerimeter","LA1035","Y32","rep4",0.135883035
"7288","LeafVertLength","LA1035","Y32","rep4",0.234694083
"7289","LeafHorizWidth","LA1035","Y32","rep4",0.25067415
"7290","LeafElongationFactor","LA1035","Y32","rep4",1.068018721
"7291","DG","LA1037","Y34","rep4",3
"7292","DL4","LA1037","Y34","rep4",14
"7293","DH","LA1037","Y34","rep4",11
"7294","LN","LA1037","Y34","rep4",0.666666667
"7295","RL","LA1037","Y34","rep4",1.043010753
"7296","SL","LA1037","Y34","rep4",0.428571429
"7297","ST","LA1037","Y34","rep4",0.492385787
"7298","RFM","LA1037","Y34","rep4",0.310540519
"7299","SFM","LA1037","Y34","rep4",NA
"7300","TFM","LA1037","Y34","rep4",NA
"7301","RDM","LA1037","Y34","rep4",0.449304175
"7302","SDM","LA1037","Y34","rep4",0.332736654
"7303","TDM","LA1037","Y34","rep4",0.338846637
"7304","WC","LA1037","Y34","rep4",NA
"7305","WCn","LA1037","Y34","rep4",-4.490084528
"7306","GPI","LA1037","Y34","rep4",1.047542652
"7307","GPF","LA1037","Y34","rep4",0.358894132
"7308","dGP","LA1037","Y34","rep4",0.229258934
"7309","L4FM","LA1037","Y34","rep4",0.209944341
"7310","L4DM","LA1037","Y34","rep4",0.29601892
"7311","L4A","LA1037","Y34","rep4",0.263959635
"7312","RNa","LA1037","Y34","rep4",13.24589105
"7313","RK","LA1037","Y34","rep4",1.005300271
"7314","LNa","LA1037","Y34","rep4",20.06750116
"7315","LK","LA1037","Y34","rep4",0.871357109
"7316","LeafSucculence","LA1037","Y34","rep4",0.761478049
"7317","LeafPerimeter","LA1037","Y34","rep4",0.339251657
"7318","LeafVertLength","LA1037","Y34","rep4",0.443283659
"7319","LeafHorizWidth","LA1037","Y34","rep4",0.506366087
"7320","LeafElongationFactor","LA1037","Y34","rep4",1.142338417
"7321","DG","LA1039","Y35","rep4",5
"7322","DL4","LA1039","Y35","rep4",12
"7323","DH","LA1039","Y35","rep4",11
"7324","LN","LA1039","Y35","rep4",0.666666667
"7325","RL","LA1039","Y35","rep4",0.623376623
"7326","SL","LA1039","Y35","rep4",0.416666667
"7327","ST","LA1039","Y35","rep4",0.654929577
